가,ㄱㅏᴥ
멍청이,ㅁㅓㅇᴥㅊㅓㅇᴥㅇㅣᴥ
메쓰겁다,ㅁㅔᴥㅆㅡᴥㄱㅓㅂᴥㄷㅏᴥ
며칠,ㅁㅕᴥㅊㅣㄹᴥ
면,ㅁㅕㄴᴥ
면역,ㅁㅕㄴᴥㅇㅕㄱᴥ
명,ㅁㅕㅇᴥ
명령,ㅁㅕㅇᴥㄹㅕㅇᴥ
명시,ㅁㅕㅇᴥㅅㅣᴥ
몇,ㅁㅕㅊᴥ
모,ㅁㅗᴥ
모녀,ㅁㅗᴥㄴㅕᴥ
모두,ㅁㅗᴥㄷㅜᴥ
모둠,ㅁㅗᴥㄷㅜㅁᴥ
모름지기,ㅁㅗᴥㄹㅡㅁᴥㅈㅣᴥㄱㅣᴥ
모방,ㅁㅗᴥㅂㅏㅇᴥ
모서리,ㅁㅗᴥㅅㅓᴥㄹㅣᴥ
모습,ㅁㅗᴥㅅㅡㅂᴥ
모양,ㅁㅗᴥㅇㅑㅇᴥ
모음,ㅁㅗᴥㅇㅡㅁᴥ
모임,ㅁㅗᴥㅇㅣㅁᴥ
모자,ㅁㅗᴥㅈㅏᴥ
모조품,ㅁㅗᴥㅈㅗᴥㅍㅜㅁᴥ
모쪼록,ㅁㅗᴥㅉㅗᴥㄹㅗㄱᴥ
목,ㅁㅗㄱᴥ
목가,ㅁㅗㄱᴥㄱㅏᴥ
목가적,ㅁㅗㄱᴥㄱㅏᴥㅈㅓㄱᴥ
목록,ㅁㅗㄱᴥㄹㅗㄱᴥ
목수,ㅁㅗㄱᴥㅅㅜᴥ
목적,ㅁㅗㄱᴥㅈㅓㄱᴥ
목전,ㅁㅗㄱᴥㅈㅓㄴᴥ
목차,ㅁㅗㄱᴥㅊㅏᴥ
목표,ㅁㅗㄱᴥㅍㅛᴥ
못,ㅁㅗㅅᴥ
못하다,ㅁㅗㅅᴥㅎㅏᴥㄷㅏᴥ
묘사,ㅁㅛᴥㅅㅏᴥ
무단,ㅁㅜᴥㄷㅏㄴᴥ
무렵,ㅁㅜᴥㄹㅕㅂᴥ
무료,ㅁㅜᴥㄹㅛᴥ
무릎쓰고,ㅁㅜᴥㄹㅡㅍᴥㅆㅡᴥㄱㅗᴥ
무리,ㅁㅜᴥㄹㅣᴥ
무슨,ㅁㅜᴥㅅㅡㄴᴥ
무시,ㅁㅜᴥㅅㅣᴥ
무엇,ㅁㅜᴥㅇㅓㅅᴥ
무엇때문에,ㅁㅜᴥㅇㅓㅅᴥㄸㅐᴥㅁㅜㄴᴥㅇㅔᴥ
무한,ㅁㅜᴥㅎㅏㄴᴥ
무효,ㅁㅜᴥㅎㅛᴥ
문,ㅁㅜㄴᴥ
문답,ㅁㅜㄴᴥㄷㅏㅂᴥ
문서,ㅁㅜㄴᴥㅅㅓᴥ
문자,ㅁㅜㄴᴥㅈㅏᴥ
문장,ㅁㅜㄴᴥㅈㅏㅇᴥ
문제,ㅁㅜㄴᴥㅈㅔᴥ
문제점,ㅁㅜㄴᴥㅈㅔᴥㅈㅓㅁᴥ
문화,ㅁㅜㄴᴥㅎㅘᴥ
물,ㅁㅜㄹᴥ
물건,ㅁㅜㄹᴥㄱㅓㄴᴥ
물결,ㅁㅜㄹᴥㄱㅕㄹᴥ
물길,ㅁㅜㄹᴥㄱㅣㄹᴥ
물론,ㅁㅜㄹᴥㄹㅗㄴᴥ
물질,ㅁㅜㄹᴥㅈㅣㄹᴥ
미니,ㅁㅣᴥㄴㅣᴥ
미래,ㅁㅣᴥㄹㅐᴥ
미혼,ㅁㅣᴥㅎㅗㄴᴥ
민,ㅁㅣㄴᴥ
민족,ㅁㅣㄴᴥㅈㅗㄱᴥ
민효,ㅁㅣㄴᴥㅎㅛᴥ
믿음,ㅁㅣㄷᴥㅇㅡㅁᴥ
및,ㅁㅣㅊᴥ
밑,ㅁㅣㅌᴥ
바깥,ㅂㅏᴥㄲㅏㅌᴥ
바꾸어말하면,ㅂㅏᴥㄲㅜᴥㅇㅓᴥㅁㅏㄹᴥㅎㅏᴥㅁㅕㄴᴥ
바꾸어말하자면,ㅂㅏᴥㄲㅜᴥㅇㅓᴥㅁㅏㄹᴥㅎㅏᴥㅈㅏᴥㅁㅕㄴᴥ
바꾸어서,ㅂㅏᴥㄲㅜᴥㅇㅓᴥㅅㅓᴥ
바꿔,ㅂㅏᴥㄲㅝᴥ
바람,ㅂㅏᴥㄹㅏㅁᴥ
바로,ㅂㅏᴥㄹㅗᴥ
바보,ㅂㅏᴥㅂㅗᴥ
바야흐로,ㅂㅏᴥㅇㅑᴥㅎㅡᴥㄹㅗᴥ
바에야,ㅂㅏᴥㅇㅔᴥㅇㅑᴥ
바와같이,ㅂㅏᴥㅇㅘᴥㄱㅏㅌᴥㅇㅣᴥ
바탕,ㅂㅏᴥㅌㅏㅇᴥ
박,ㅂㅏㄱᴥ
밖,ㅂㅏㄲᴥ
밖에 안된다,ㅂㅏㄲᴥㅇㅔᴥ ㅇㅏㄴᴥㄷㅚㄴᴥㄷㅏᴥ
반,ㅂㅏㄴᴥ
반대로,ㅂㅏㄴᴥㄷㅐᴥㄹㅗᴥ
반대편,ㅂㅏㄴᴥㄷㅐᴥㅍㅕㄴᴥ
반드시,ㅂㅏㄴᴥㄷㅡᴥㅅㅣᴥ
반복,ㅂㅏㄴᴥㅂㅗㄱᴥ
반사,ㅂㅏㄴᴥㅅㅏᴥ
반영,ㅂㅏㄴᴥㅇㅕㅇᴥ
반환,ㅂㅏㄴᴥㅎㅘㄴᴥ
받,ㅂㅏㄷᴥ
발견,ㅂㅏㄹᴥㄱㅕㄴᴥ
발생,ㅂㅏㄹᴥㅅㅐㅇᴥ
발전,ㅂㅏㄹᴥㅈㅓㄴᴥ
발현,ㅂㅏㄹᴥㅎㅕㄴᴥ
밤,ㅂㅏㅁᴥ
방,ㅂㅏㅇᴥ
방문,ㅂㅏㅇᴥㅁㅜㄴᴥ
방법,ㅂㅏㅇᴥㅂㅓㅂᴥ
방식,ㅂㅏㅇᴥㅅㅣㄱᴥ
방향,ㅂㅏㅇᴥㅎㅑㅇᴥ
배,ㅂㅐᴥ
배경,ㅂㅐᴥㄱㅕㅇᴥ
배달,ㅂㅐᴥㄷㅏㄹᴥ
배수,ㅂㅐᴥㅅㅜᴥ
배열,ㅂㅐᴥㅇㅕㄹᴥ
배우자,ㅂㅐᴥㅇㅜᴥㅈㅏᴥ
배정,ㅂㅐᴥㅈㅓㅇᴥ
배포,ㅂㅐᴥㅍㅗᴥ
배회,ㅂㅐᴥㅎㅚᴥ
백,ㅂㅐㄱᴥ
버금,ㅂㅓᴥㄱㅡㅁᴥ
버스,ㅂㅓᴥㅅㅡᴥ
버전,ㅂㅓᴥㅈㅓㄴᴥ
버튼,ㅂㅓᴥㅌㅡㄴᴥ
번,ㅂㅓㄴᴥ
번역,ㅂㅓㄴᴥㅇㅕㄱᴥ
번호,ㅂㅓㄴᴥㅎㅗᴥ
범위,ㅂㅓㅁᴥㅇㅟᴥ
법칙,ㅂㅓㅂᴥㅊㅣㄱᴥ
변경,ㅂㅕㄴᴥㄱㅕㅇᴥ
변모,ㅂㅕㄴᴥㅁㅗᴥ
변화,ㅂㅕㄴᴥㅎㅘᴥ
변환,ㅂㅕㄴᴥㅎㅘㄴᴥ
별도,ㅂㅕㄹᴥㄷㅗᴥ
별명,ㅂㅕㄹᴥㅁㅕㅇᴥ
병합,ㅂㅕㅇᴥㅎㅏㅂᴥ
보,ㅂㅗᴥ
보고서,ㅂㅗᴥㄱㅗᴥㅅㅓᴥ
보관,ㅂㅗᴥㄱㅘㄴᴥ
보는데서,ㅂㅗᴥㄴㅡㄴᴥㄷㅔᴥㅅㅓᴥ
보다,ㅂㅗᴥㄷㅏᴥ
보드득,ㅂㅗᴥㄷㅡᴥㄷㅡㄱᴥ
보아,ㅂㅗᴥㅇㅏᴥ
보이,ㅂㅗᴥㅇㅣᴥ
보조,ㅂㅗᴥㅈㅗᴥ
보조자,ㅂㅗᴥㅈㅗᴥㅈㅏᴥ
보통,ㅂㅗᴥㅌㅗㅇᴥ
복사,ㅂㅗㄱᴥㅅㅏᴥ
복수,ㅂㅗㄱᴥㅅㅜᴥ
복제,ㅂㅗㄱᴥㅈㅔᴥ
복합,ㅂㅗㄱᴥㅎㅏㅂᴥ
본,ㅂㅗㄴᴥ
본래,ㅂㅗㄴᴥㄹㅐᴥ
본문,ㅂㅗㄴᴥㅁㅜㄴᴥ
본인,ㅂㅗㄴᴥㅇㅣㄴᴥ
봄,ㅂㅗㅁᴥ
부,ㅂㅜᴥ
부각,ㅂㅜᴥㄱㅏㄱᴥ
부녀,ㅂㅜᴥㄴㅕᴥ
부디,ㅂㅜᴥㄷㅣᴥ
부분,ㅂㅜᴥㅂㅜㄴᴥ
부서,ㅂㅜᴥㅅㅓᴥ
부위,ㅂㅜᴥㅇㅟᴥ
부자,ㅂㅜᴥㅈㅏᴥ
부정,ㅂㅜᴥㅈㅓㅇᴥ
부족,ㅂㅜᴥㅈㅗㄱᴥ
부터,ㅂㅜᴥㅌㅓᴥ
부품,ㅂㅜᴥㅍㅜㅁᴥ
부호,ㅂㅜᴥㅎㅗᴥ
북극,ㅂㅜㄱᴥㄱㅡㄱᴥ
분,ㅂㅜㄴᴥ
분리,ㅂㅜㄴᴥㄹㅣᴥ
분석,ㅂㅜㄴᴥㅅㅓㄱᴥ
분자,ㅂㅜㄴᴥㅈㅏᴥ
불가,ㅂㅜㄹᴥㄱㅏᴥ
불구하고,ㅂㅜㄹᴥㄱㅜᴥㅎㅏᴥㄱㅗᴥ
불꽃,ㅂㅜㄹᴥㄲㅗㅊᴥ
불문하고,ㅂㅜㄹᴥㅁㅜㄴᴥㅎㅏᴥㄱㅗᴥ
불여,ㅂㅜㄹᴥㅇㅕᴥ
불합격,ㅂㅜㄹᴥㅎㅏㅂᴥㄱㅕㄱᴥ
불합리,ㅂㅜㄹᴥㅎㅏㅂᴥㄹㅣᴥ
붕붕,ㅂㅜㅇᴥㅂㅜㅇᴥ
브,ㅂㅡᴥ
비걱거리다,ㅂㅣᴥㄱㅓㄱᴥㄱㅓᴥㄹㅣᴥㄷㅏᴥ
비교,ㅂㅣᴥㄱㅛᴥ
비교적,ㅂㅣᴥㄱㅛᴥㅈㅓㄱᴥ
비동의,ㅂㅣᴥㄷㅗㅇᴥㅇㅢᴥ
비등,ㅂㅣᴥㄷㅡㅇᴥ
비로소,ㅂㅣᴥㄹㅗᴥㅅㅗᴥ
비록,ㅂㅣᴥㄹㅗㄱᴥ
비밀,ㅂㅣᴥㅁㅣㄹᴥ
비슷하다,ㅂㅣᴥㅅㅡㅅᴥㅎㅏᴥㄷㅏᴥ
비중,ㅂㅣᴥㅈㅜㅇᴥ
비판,ㅂㅣᴥㅍㅏㄴᴥ
비하면,ㅂㅣᴥㅎㅏᴥㅁㅕㄴᴥ
비혼,ㅂㅣᴥㅎㅗㄴᴥ
빈도,ㅂㅣㄴᴥㄷㅗᴥ
빈틈,ㅂㅣㄴᴥㅌㅡㅁᴥ
빨리,ㅃㅏㄹᴥㄹㅣᴥ
빼기,ㅃㅐᴥㄱㅣᴥ
뿐만,ㅃㅜㄴᴥㅁㅏㄴᴥ
뿐만아니라,ㅃㅜㄴᴥㅁㅏㄴᴥㅇㅏᴥㄴㅣᴥㄹㅏᴥ
뿐이다,ㅃㅜㄴᴥㅇㅣᴥㄷㅏᴥ
삐걱거리다,ㅃㅣᴥㄱㅓㄱᴥㄱㅓᴥㄹㅣᴥㄷㅏᴥ
사,ㅅㅏᴥ
사각형,ㅅㅏᴥㄱㅏㄱᴥㅎㅕㅇᴥ
사건,ㅅㅏᴥㄱㅓㄴᴥ
사고,ㅅㅏᴥㄱㅗᴥ
사나,ㅅㅏᴥㄴㅏᴥ
사람,ㅅㅏᴥㄹㅏㅁᴥ
사랑,ㅅㅏᴥㄹㅏㅇᴥ
사례,ㅅㅏᴥㄹㅖᴥ
사물,ㅅㅏᴥㅁㅜㄹᴥ
사상,ㅅㅏᴥㅅㅏㅇᴥ
사실,ㅅㅏᴥㅅㅣㄹᴥ
사업,ㅅㅏᴥㅇㅓㅂᴥ
사업가,ㅅㅏᴥㅇㅓㅂᴥㄱㅏᴥ
사업자,ㅅㅏᴥㅇㅓㅂᴥㅈㅏᴥ
사업장,ㅅㅏᴥㅇㅓㅂᴥㅈㅏㅇᴥ
사용,ㅅㅏᴥㅇㅛㅇᴥ
사용법,ㅅㅏᴥㅇㅛㅇᴥㅂㅓㅂᴥ
사용서,ㅅㅏᴥㅇㅛㅇᴥㅅㅓᴥ
사원,ㅅㅏᴥㅇㅝㄴᴥ
사유,ㅅㅏᴥㅇㅠᴥ
사이,ㅅㅏᴥㅇㅣᴥ
사이트,ㅅㅏᴥㅇㅣᴥㅌㅡᴥ
사장,ㅅㅏᴥㅈㅏㅇᴥ
사전,ㅅㅏᴥㅈㅓㄴᴥ
사정,ㅅㅏᴥㅈㅓㅇᴥ
사진,ㅅㅏᴥㅈㅣㄴᴥ
사촌,ㅅㅏᴥㅊㅗㄴᴥ
사항,ㅅㅏᴥㅎㅏㅇᴥ
사회,ㅅㅏᴥㅎㅚᴥ
사흘,ㅅㅏᴥㅎㅡㄹᴥ
삭제,ㅅㅏㄱᴥㅈㅔᴥ
산물,ㅅㅏㄴᴥㅁㅜㄹᴥ
산업,ㅅㅏㄴᴥㅇㅓㅂᴥ
산촌,ㅅㅏㄴᴥㅊㅗㄴᴥ
산출,ㅅㅏㄴᴥㅊㅜㄹᴥ
산출물,ㅅㅏㄴᴥㅊㅜㄹᴥㅁㅜㄹᴥ
살,ㅅㅏㄹᴥ
삼,ㅅㅏㅁᴥ
삼각형,ㅅㅏㅁᴥㄱㅏㄱᴥㅎㅕㅇᴥ
삼촌,ㅅㅏㅁᴥㅊㅗㄴᴥ
삽입,ㅅㅏㅂᴥㅇㅣㅂᴥ
상,ㅅㅏㅇᴥ
상관,ㅅㅏㅇᴥㄱㅘㄴᴥ
상당수,ㅅㅏㅇᴥㄷㅏㅇᴥㅅㅜᴥ
상대,ㅅㅏㅇᴥㄷㅐᴥ
상대적,ㅅㅏㅇᴥㄷㅐᴥㅈㅓㄱᴥ
상부,ㅅㅏㅇᴥㅂㅜᴥ
상세,ㅅㅏㅇᴥㅅㅔᴥ
상위,ㅅㅏㅇᴥㅇㅟᴥ
상층부,ㅅㅏㅇᴥㅊㅡㅇᴥㅂㅜᴥ
상태,ㅅㅏㅇᴥㅌㅐᴥ
상황,ㅅㅏㅇᴥㅎㅘㅇᴥ
새벽,ㅅㅐᴥㅂㅕㄱᴥ
생각,ㅅㅐㅇᴥㄱㅏㄱᴥ
생각하,ㅅㅐㅇᴥㄱㅏㄱᴥㅎㅏᴥ
생각한대로,ㅅㅐㅇᴥㄱㅏㄱᴥㅎㅏㄴᴥㄷㅐᴥㄹㅗᴥ
생김,ㅅㅐㅇᴥㄱㅣㅁᴥ
생략,ㅅㅐㅇᴥㄹㅑㄱᴥ
생산,ㅅㅐㅇᴥㅅㅏㄴᴥ
생성,ㅅㅐㅇᴥㅅㅓㅇᴥ
생활,ㅅㅐㅇᴥㅎㅘㄹᴥ
서,ㅅㅓᴥ
서명,ㅅㅓᴥㅁㅕㅇᴥ
서술,ㅅㅓᴥㅅㅜㄹᴥ
서술한바,ㅅㅓᴥㅅㅜㄹᴥㅎㅏㄴᴥㅂㅏᴥ
선,ㅅㅓㄴᴥ
선생,ㅅㅓㄴᴥㅅㅐㅇᴥ
선생님,ㅅㅓㄴᴥㅅㅐㅇᴥㄴㅣㅁᴥ
선수,ㅅㅓㄴᴥㅅㅜᴥ
선언,ㅅㅓㄴᴥㅇㅓㄴᴥ
선정,ㅅㅓㄴᴥㅈㅓㅇᴥ
선택,ㅅㅓㄴᴥㅌㅐㄱᴥ
선행,ㅅㅓㄴᴥㅎㅐㅇᴥ
설,ㅅㅓㄹᴥ
설계,ㅅㅓㄹᴥㄱㅖᴥ
설령,ㅅㅓㄹᴥㄹㅕㅇᴥ
설마,ㅅㅓㄹᴥㅁㅏᴥ
설명,ㅅㅓㄹᴥㅁㅕㅇᴥ
설명서,ㅅㅓㄹᴥㅁㅕㅇᴥㅅㅓᴥ
설사,ㅅㅓㄹᴥㅅㅏᴥ
설정,ㅅㅓㄹᴥㅈㅓㅇᴥ
설치,ㅅㅓㄹᴥㅊㅣᴥ
성공,ㅅㅓㅇᴥㄱㅗㅇᴥ
성과,ㅅㅓㅇᴥㄱㅘᴥ
성분,ㅅㅓㅇᴥㅂㅜㄴᴥ
성장,ㅅㅓㅇᴥㅈㅏㅇᴥ
성질,ㅅㅓㅇᴥㅈㅣㄹᴥ
섵,ㅅㅓㅌᴥ
세계,ㅅㅔᴥㄱㅖᴥ
세기,ㅅㅔᴥㄱㅣᴥ
세기말,ㅅㅔᴥㄱㅣᴥㅁㅏㄹᴥ
세모,ㅅㅔᴥㅁㅗᴥ
세부,ㅅㅔᴥㅂㅜᴥ
세상,ㅅㅔᴥㅅㅏㅇᴥ
세트,ㅅㅔᴥㅌㅡᴥ
셋,ㅅㅔㅅᴥ
셜,ㅅㅕㄹᴥ
소개,ㅅㅗᴥㄱㅐᴥ
소녀,ㅅㅗᴥㄴㅕᴥ
소년,ㅅㅗᴥㄴㅕㄴᴥ
소량,ㅅㅗᴥㄹㅑㅇᴥ
소리,ㅅㅗᴥㄹㅣᴥ
소모품,ㅅㅗᴥㅁㅗᴥㅍㅜㅁᴥ
소박,ㅅㅗᴥㅂㅏㄱᴥ
소비,ㅅㅗᴥㅂㅣᴥ
소생,ㅅㅗᴥㅅㅐㅇᴥ
소수,ㅅㅗᴥㅅㅜᴥ
소외,ㅅㅗᴥㅇㅚᴥ
소요,ㅅㅗᴥㅇㅛᴥ
소유,ㅅㅗᴥㅇㅠᴥ
소인,ㅅㅗᴥㅇㅣㄴᴥ
속,ㅅㅗㄱᴥ
속도,ㅅㅗㄱᴥㄷㅗᴥ
속성,ㅅㅗㄱᴥㅅㅓㅇᴥ
손님,ㅅㅗㄴᴥㄴㅣㅁᴥ
송신,ㅅㅗㅇᴥㅅㅣㄴᴥ
솨,ㅅㅘᴥ
수,ㅅㅜᴥ
수단,ㅅㅜᴥㄷㅏㄴᴥ
수동,ㅅㅜᴥㄷㅗㅇᴥ
수립,ㅅㅜᴥㄹㅣㅂᴥ
수명,ㅅㅜᴥㅁㅕㅇᴥ
수술,ㅅㅜᴥㅅㅜㄹᴥ
수술실,ㅅㅜᴥㅅㅜㄹᴥㅅㅣㄹᴥ
수스,ㅅㅜᴥㅅㅡᴥ
수신,ㅅㅜᴥㅅㅣㄴᴥ
수업,ㅅㅜᴥㅇㅓㅂᴥ
수용자,ㅅㅜᴥㅇㅛㅇᴥㅈㅏᴥ
수인,ㅅㅜᴥㅇㅣㄴᴥ
수정,ㅅㅜᴥㅈㅓㅇᴥ
수준,ㅅㅜᴥㅈㅜㄴᴥ
수중,ㅅㅜᴥㅈㅜㅇᴥ
수직,ㅅㅜᴥㅈㅣㄱᴥ
수평,ㅅㅜᴥㅍㅕㅇᴥ
수행,ㅅㅜᴥㅎㅐㅇᴥ
순간,ㅅㅜㄴᴥㄱㅏㄴᴥ
순서,ㅅㅜㄴᴥㅅㅓᴥ
순차,ㅅㅜㄴᴥㅊㅏᴥ
숫자,ㅅㅜㅅᴥㅈㅏᴥ
쉬움,ㅅㅟᴥㅇㅜㅁᴥ
쉼표,ㅅㅟㅁᴥㅍㅛᴥ
스,ㅅㅡᴥ
스스로,ㅅㅡᴥㅅㅡᴥㄹㅗᴥ
스타일,ㅅㅡᴥㅌㅏᴥㅇㅣㄹᴥ
습니까,ㅅㅡㅂᴥㄴㅣᴥㄲㅏᴥ
습니다,ㅅㅡㅂᴥㄴㅣᴥㄷㅏᴥ
시,ㅅㅣᴥ
시각,ㅅㅣᴥㄱㅏㄱᴥ
시간,ㅅㅣᴥㄱㅏㄴᴥ
시계,ㅅㅣᴥㄱㅖᴥ
시골,ㅅㅣᴥㄱㅗㄹᴥ
시공간,ㅅㅣᴥㄱㅗㅇᴥㄱㅏㄴᴥ
시기,ㅅㅣᴥㄱㅣᴥ
시대,ㅅㅣᴥㄷㅐᴥ
시도,ㅅㅣᴥㄷㅗᴥ
시발,ㅅㅣᴥㅂㅏㄹᴥ
시작,ㅅㅣᴥㅈㅏㄱᴥ
시작점,ㅅㅣᴥㅈㅏㄱᴥㅈㅓㅁᴥ
시작하여,ㅅㅣᴥㅈㅏㄱᴥㅎㅏᴥㅇㅕᴥ
시장,ㅅㅣᴥㅈㅏㅇᴥ
시초에,ㅅㅣᴥㅊㅗᴥㅇㅔᴥ
시키,ㅅㅣᴥㅋㅣᴥ
시키다,ㅅㅣᴥㅋㅣᴥㄷㅏᴥ
시행,ㅅㅣᴥㅎㅐㅇᴥ
시험,ㅅㅣᴥㅎㅓㅁᴥ
식당,ㅅㅣㄱᴥㄷㅏㅇᴥ
식별,ㅅㅣㄱᴥㅂㅕㄹᴥ
신경,ㅅㅣㄴᴥㄱㅕㅇᴥ
신문,ㅅㅣㄴᴥㅁㅜㄴᴥ
신호,ㅅㅣㄴᴥㅎㅗᴥ
실로,ㅅㅣㄹᴥㄹㅗᴥ
실수,ㅅㅣㄹᴥㅅㅜᴥ
실제,ㅅㅣㄹᴥㅈㅔᴥ
실천,ㅅㅣㄹᴥㅊㅓㄴᴥ
실패,ㅅㅣㄹᴥㅍㅐᴥ
실행,ㅅㅣㄹᴥㅎㅐㅇᴥ
실행력,ㅅㅣㄹᴥㅎㅐㅇᴥㄹㅕㄱᴥ
실험,ㅅㅣㄹᴥㅎㅓㅁᴥ
실험실,ㅅㅣㄹᴥㅎㅓㅁᴥㅅㅣㄹᴥ
실효,ㅅㅣㄹᴥㅎㅛᴥ
심지어,ㅅㅣㅁᴥㅈㅣᴥㅇㅓᴥ
십,ㅅㅣㅂᴥ
싱,ㅅㅣㅇᴥ
싶,ㅅㅣㅍᴥ
쓰여,ㅆㅡᴥㅇㅕᴥ
씨,ㅆㅣᴥ
씩,ㅆㅣㄱᴥ
아,ㅇㅏᴥ
아까,ㅇㅏᴥㄲㅏᴥ
아낙,ㅇㅏᴥㄴㅏㄱᴥ
아낙네,ㅇㅏᴥㄴㅏㄱᴥㄴㅔᴥ
아내,ㅇㅏᴥㄴㅐᴥ
아니,ㅇㅏᴥㄴㅣᴥ
아니나다를가,ㅇㅏᴥㄴㅣᴥㄴㅏᴥㄷㅏᴥㄹㅡㄹᴥㄱㅏᴥ
아니면,ㅇㅏᴥㄴㅣᴥㅁㅕㄴᴥ
아래,ㅇㅏᴥㄹㅐᴥ
아래윗,ㅇㅏᴥㄹㅐᴥㅇㅟㅅᴥ
아마,ㅇㅏᴥㅁㅏᴥ
아무거나,ㅇㅏᴥㅁㅜᴥㄱㅓᴥㄴㅏᴥ
아무도,ㅇㅏᴥㅁㅜᴥㄷㅗᴥ
아무리,ㅇㅏᴥㅁㅜᴥㄹㅣᴥ
아무쪼록,ㅇㅏᴥㅁㅜᴥㅉㅗᴥㄹㅗㄱᴥ
아버지,ㅇㅏᴥㅂㅓᴥㅈㅣᴥ
아빠,ㅇㅏᴥㅃㅏᴥ
아야,ㅇㅏᴥㅇㅑᴥ
아이,ㅇㅏᴥㅇㅣᴥ
아이고,ㅇㅏᴥㅇㅣᴥㄱㅗᴥ
아이구,ㅇㅏᴥㅇㅣᴥㄱㅜᴥ
아이디,ㅇㅏᴥㅇㅣᴥㄷㅣᴥ
아이쿠,ㅇㅏᴥㅇㅣᴥㅋㅜᴥ
아저씨,ㅇㅏᴥㅈㅓᴥㅆㅣᴥ
아주,ㅇㅏᴥㅈㅜᴥ
아주머니,ㅇㅏᴥㅈㅜᴥㅁㅓᴥㄴㅣᴥ
아줌마,ㅇㅏᴥㅈㅜㅁᴥㅁㅏᴥ
아하,ㅇㅏᴥㅎㅏᴥ
아홉,ㅇㅏᴥㅎㅗㅂᴥ
악기,ㅇㅏㄱᴥㄱㅣᴥ
안,ㅇㅏㄴᴥ
안다,ㅇㅏㄴᴥㄷㅏᴥ
안정,ㅇㅏㄴᴥㅈㅓㅇᴥ
않,ㅇㅏㄶᴥ
않고,ㅇㅏㄶᴥㄱㅗᴥ
않기,ㅇㅏㄶᴥㄱㅣᴥ
않는다면,ㅇㅏㄶᴥㄴㅡㄴᴥㄷㅏᴥㅁㅕㄴᴥ
않다,ㅇㅏㄶᴥㄷㅏᴥ
않도록,ㅇㅏㄶᴥㄷㅗᴥㄹㅗㄱᴥ
알겠는가,ㅇㅏㄹᴥㄱㅔㅆᴥㄴㅡㄴᴥㄱㅏᴥ
앗,ㅇㅏㅅᴥ
앞,ㅇㅏㅍᴥ
앞서,ㅇㅏㅍᴥㅅㅓᴥ
앞에서,ㅇㅏㅍᴥㅇㅔᴥㅅㅓᴥ
앞의것,ㅇㅏㅍᴥㅇㅢᴥㄱㅓㅅᴥ
야,ㅇㅑᴥ
야기,ㅇㅑᴥㄱㅣᴥ
약간,ㅇㅑㄱᴥㄱㅏㄴᴥ
약수,ㅇㅑㄱᴥㅅㅜᴥ
약자,ㅇㅑㄱᴥㅈㅏᴥ
약점,ㅇㅑㄱᴥㅈㅓㅁᴥ
양,ㅇㅑㅇᴥ
양분화,ㅇㅑㅇᴥㅂㅜㄴᴥㅎㅘᴥ
양상,ㅇㅑㅇᴥㅅㅏㅇᴥ
양식,ㅇㅑㅇᴥㅅㅣㄱᴥ
양자,ㅇㅑㅇᴥㅈㅏᴥ
양쪽,ㅇㅑㅇᴥㅉㅗㄱᴥ
얘기,ㅇㅒᴥㄱㅣᴥ
어,ㅇㅓᴥ
어구,ㅇㅓᴥㄱㅜᴥ
어기여차,ㅇㅓᴥㄱㅣᴥㅇㅕᴥㅊㅏᴥ
어느,ㅇㅓᴥㄴㅡᴥ
어느것,ㅇㅓᴥㄴㅡᴥㄱㅓㅅᴥ
어느곳,ㅇㅓᴥㄴㅡᴥㄱㅗㅅᴥ
어느때,ㅇㅓᴥㄴㅡᴥㄸㅐᴥ
어느쪽,ㅇㅓᴥㄴㅡᴥㅉㅗㄱᴥ
어느해,ㅇㅓᴥㄴㅡᴥㅎㅐᴥ
어디,ㅇㅓᴥㄷㅣᴥ
어때,ㅇㅓᴥㄸㅐᴥ
어떠한,ㅇㅓᴥㄸㅓᴥㅎㅏㄴᴥ
어떤,ㅇㅓᴥㄸㅓㄴᴥ
어떤것,ㅇㅓᴥㄸㅓㄴᴥㄱㅓㅅᴥ
어떻,ㅇㅓᴥㄸㅓㅎᴥ
어떻게,ㅇㅓᴥㄸㅓㅎᴥㄱㅔᴥ
어려움,ㅇㅓᴥㄹㅕᴥㅇㅜㅁᴥ
어른,ㅇㅓᴥㄹㅡㄴᴥ
어린이,ㅇㅓᴥㄹㅣㄴᴥㅇㅣᴥ
어린이집,ㅇㅓᴥㄹㅣㄴᴥㅇㅣᴥㅈㅣㅂᴥ
어머니,ㅇㅓᴥㅁㅓᴥㄴㅣᴥ
어이,ㅇㅓᴥㅇㅣᴥ
어째서,ㅇㅓᴥㅉㅐᴥㅅㅓᴥ
어쨌든,ㅇㅓᴥㅉㅐㅆᴥㄷㅡㄴᴥ
어찌,ㅇㅓᴥㅉㅣᴥ
어찌됏든,ㅇㅓᴥㅉㅣᴥㄷㅙㅅᴥㄷㅡㄴᴥ
어찌하든지,ㅇㅓᴥㅉㅣᴥㅎㅏᴥㄷㅡㄴᴥㅈㅣᴥ
어찌하여,ㅇㅓᴥㅉㅣᴥㅎㅏᴥㅇㅕᴥ
어촌,ㅇㅓᴥㅊㅗㄴᴥ
억제,ㅇㅓㄱᴥㅈㅔᴥ
언급,ㅇㅓㄴᴥㄱㅡㅂᴥ
